Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
550,2000,2.892971533,0.087175591,0.537302294,0.553998926,0.021675587,0.038223068,0.416447168,1.115140605,0,0,0,0
552.020202,2000,2.892954749,0.088071398,0.537218002,0.553450134,0.021910132,0.038122583,0.416390499,1.112159605,0,0,0,0
554.040404,2000,2.892958163,0.088971417,0.537128541,0.552896276,0.022145134,0.038029872,0.416355507,1.109221106,0,0,0,0
556.0606061,2000,2.892965006,0.089873117,0.537038395,0.552349645,0.022380066,0.037934789,0.416330154,1.106312749,0,0,0,0
558.0808081,2000,2.892977995,0.090783639,0.536961084,0.551805759,0.022615725,0.037841437,0.416316842,1.103426617,0,0,0,0
560.1010101,2000,2.892981609,0.091692072,0.536875157,0.551272629,0.022850708,0.037742533,0.416300865,1.100548639,0,0,0,0
562.1212121,2000,2.892993481,0.092599862,0.536787982,0.550740489,0.023085813,0.037649803,0.416295763,1.097697028,0,0,0,0
564.1414141,2000,2.893355495,0.093445013,0.536901944,0.549760785,0.023209494,0.03744223,0.414752362,1.09063081,0,0,0,0
566.1616162,2000,2.893873303,0.094260984,0.537095476,0.548608709,0.023278047,0.037180398,0.412508557,1.081717642,0,0,0,0
568.1818182,2000,2.894372439,0.095076693,0.537282495,0.547471779,0.023344025,0.036928772,0.41026049,1.072766808,0,0,0,0
570.2020202,2000,2.894868266,0.095894698,0.537469211,0.546362516,0.023407381,0.036676515,0.40802344,1.063867714,0,0,0,0
572.2222222,2000,2.895359832,0.096714274,0.537654213,0.545268464,0.023468083,0.036430485,0.405789756,1.054966137,0,0,0,0
574.2424242,2000,2.895846573,0.097541065,0.537833019,0.544198076,0.023525481,0.036187264,0.403568517,1.046104811,0,0,0,0
576.2626263,2000,2.896322568,0.098365076,0.538017,0.543149495,0.023581703,0.035947122,0.401356095,1.037271036,0,0,0,0
578.2828283,2000,2.896794158,0.099191478,0.538196146,0.542117365,0.023634944,0.035712398,0.399153517,1.028454323,0,0,0,0
580.3030303,2000,2.897257107,0.100021355,0.538368452,0.541115659,0.02368694,0.035478508,0.396988234,1.019751532,0,0,0,0
582.3232323,2000,2.897714544,0.100852779,0.538538675,0.540129195,0.023736254,0.035248223,0.394819684,1.01104565,0,0,0,0
584.3434343,2000,2.898162564,0.101680607,0.538707849,0.539164303,0.023784911,0.035022096,0.392679634,1.00241159,0,0,0,0
586.3636364,2000,2.898608046,0.102517854,0.538877662,0.538219098,0.023831311,0.034799238,0.390561661,0.993835288,0,0,0,0
588.3838384,2000,2.899048448,0.10335402,0.539043921,0.537289478,0.023876488,0.034581488,0.388464542,0.985307249,0,0,0,0
590.4040404,2000,2.899485293,0.104198796,0.539205806,0.536379182,0.023918991,0.034367285,0.386389381,0.97683846,0,0,0,0
592.4242424,2000,2.899911295,0.105034945,0.539365054,0.535497362,0.02396324,0.034152734,0.384367457,0.968523886,0,0,0,0
594.4444444,2000,2.900332989,0.10587557,0.539518492,0.534627694,0.024005516,0.033944761,0.382363772,0.960243685,0,0,0,0
596.4646465,2000,2.900753135,0.10672167,0.539666353,0.533779313,0.024046889,0.033738358,0.380399797,0.952077635,0,0,0,0
598.4848485,2000,2.901161092,0.107566568,0.539826614,0.532945162,0.024088394,0.03353815,0.378462214,0.943954318,0,0,0,0
600.5050505,2000,2.901564448,0.108412137,0.53996726,0.532134719,0.024129562,0.03333847,0.376573681,0.935980953,0,0,0,0
602.5252525,2000,2.901971061,0.109264085,0.540117129,0.531336538,0.024170591,0.033143518,0.374722961,0.928089494,0,0,0,0
604.5454545,2000,2.902363301,0.110107998,0.540252946,0.530558663,0.024212557,0.032951883,0.372916952,0.920315514,0,0,0,0
606.5656566,2000,2.902761571,0.110968879,0.540397778,0.529797702,0.024253908,0.032762288,0.371161563,0.912667096,0,0,0,0
608.5858586,2000,2.903149859,0.111822595,0.540536695,0.529051949,0.024296456,0.032576419,0.369439229,0.905104826,0,0,0,0
610.6060606,2000,2.903532191,0.112681033,0.540675564,0.528326219,0.024340835,0.032393633,0.367794043,0.897723092,0,0,0,0
612.6262626,2000,2.903909243,0.113539906,0.540808707,0.52761612,0.024385676,0.032213255,0.366186634,0.890443205,0,0,0,0
614.6464646,2000,2.904292006,0.11440366,0.540940773,0.526916383,0.024432308,0.032038825,0.364648805,0.883310483,0,0,0,0
