Temperature,Pressure,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,5000,0,0,0,0,2.874565581,0.051481355,0.307098734,3.058621891,0.032648104,0.140971521,0.833309556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428.030303,5000,0,0,0,0,2.869132876,0.05212652,0.309544726,3.056366914,0.031503217,0.145414177,0.832033821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431.0606061,5000,0,0,0,0,2.863563689,0.052766429,0.312027573,3.054166692,0.030394796,0.149954869,0.830721795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434.0909091,5000,0,0,0,0,2.857926649,0.053403261,0.314467207,3.052007246,0.029310174,0.15460615,0.829368322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437.1212121,5000,0,0,0,0,2.852146728,0.054033905,0.316939799,3.049885447,0.028247787,0.159391917,0.827964998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440.1515152,5000,0.179746187,0.370492894,0.028219381,0.060240581,2.84630558,0.054661305,0.319509833,3.047808711,0.027217109,0.164345823,0.826703546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1818182,5000,0.169368322,0.36663996,0.029976293,0.062236267,2.84032548,0.055281687,0.322076959,3.045780136,0.02621764,0.169407824,0.825444693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.2121212,5000,0.159689264,0.361888864,0.031810833,0.064243587,2.834302536,0.055900017,0.324678062,3.043789013,0.0252426,0.174614101,0.824128368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2424242,5000,0.150626184,0.356304182,0.033720697,0.066250037,2.828229269,0.056515612,0.327315632,3.041837761,0.024293236,0.179951326,0.822758906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452.2727273,5000,0.142039525,0.351072072,0.035833109,0.068667044,2.822902034,0.0571819,0.331844612,3.040098884,0.023522473,0.184969725,0.821402261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455.3030303,5000,0.133798865,0.347931123,0.038322485,0.072042115,2.819457399,0.057973993,0.340556178,3.038780366,0.023104605,0.189034542,0.820128878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458.3333333,5000,0.126208315,0.344188092,0.040917096,0.075466044,2.815757804,0.058756896,0.349255811,3.037478674,0.022683627,0.19312102,0.818805158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461.3636364,5000,0.119179717,0.339919545,0.043619775,0.078941567,2.811822727,0.059530828,0.357915085,3.036191086,0.022258817,0.197244434,0.817429196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464.3939394,5000,0.112647936,0.33513049,0.046430617,0.082459855,2.807655577,0.060295387,0.366516508,3.034910983,0.021826183,0.201426914,0.815996683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467.4242424,5000,0.106542344,0.329139098,0.049277241,0.08577265,2.80298947,0.060986895,0.374036187,3.033556363,0.021314834,0.205951002,0.814467333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470.4545455,5000,0.10084953,0.319173668,0.051871707,0.087948202,2.79684315,0.061374554,0.376874545,3.031847521,0.020489672,0.211810835,0.812718973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473.4848485,5000,0.095473437,0.308719918,0.05455875,0.090137084,2.790645438,0.061762981,0.379775167,3.030177043,0.019694281,0.217784915,0.810904795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476.5151515,5000,0.090442622,0.297763717,0.057336512,0.092335598,2.784336227,0.062143208,0.382638536,3.028525182,0.018913981,0.223902093,0.809029012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.5454545,5000,0.085701397,0.286286274,0.060197637,0.094517548,2.777997143,0.06252498,0.385557551,3.026899397,0.018156193,0.230147573,0.807084615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482.5757576,5000,0.081266599,0.274370212,0.063148657,0.0967067,2.771652079,0.062908624,0.388471722,3.025298341,0.017420918,0.236549422,0.805051666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485.6060606,5000,0.077082523,0.262016516,0.066191507,0.098897769,2.765247504,0.063288864,0.39137425,3.023719557,0.016707826,0.243083269,0.802945646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488.6363636,5000,0.073136049,0.249273244,0.069329013,0.101097845,2.75877782,0.063668247,0.394348746,3.022153944,0.016011116,0.249792299,0.800739262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
