Temperature,Pressure
584.8485,12.19192
575.7576,9.848485
590.9091,10.25253
587.8788,13
584.8485,9.525253
578.7879,12.83838
581.8182,9.525253
590.9091,12.27273
575.7576,9.363636
590.9091,9.444444
572.7273,12.27273
584.8485,10.17172
584.8485,9.282828
590.9091,10.57576
569.697,9.20202
581.8182,9.929293
575.7576,9.363636
575.7576,9.525253
578.7879,8.79798
572.7273,9.767677
600,12.43434
593.9394,11.14141
572.7273,8.79798
569.697,9.282828
596.9697,12.59596
575.7576,9.363636
575.7576,12.59596
563.6364,9.121212
578.7879,8.79798
578.7879,9.767677
560.6061,8.959596
578.7879,10.57576
600,12.67677
575.7576,9.20202
575.7576,9.040404
578.7879,13
587.8788,10.33333
587.8788,12.43434
584.8485,10.09091
593.9394,13
575.7576,12.75758
566.6667,11.86869
572.7273,9.525253
572.7273,11.38384
575.7576,9.686869
572.7273,8.959596
572.7273,12.0303
584.8485,11.54545
575.7576,9.20202
584.8485,9.444444
572.7273,10.81818
572.7273,9.282828
569.697,9.040404
575.7576,11.78788
590.9091,12.27273
584.8485,12.59596
572.7273,12.51515
590.9091,12.91919
575.7576,9.444444
581.8182,12.11111
575.7576,12.0303
575.7576,9.282828
572.7273,9.121212
569.697,9.040404
590.9091,12.35354
596.9697,12.19192
569.697,11.54545
578.7879,13
578.7879,11.70707
575.7576,9.606061
572.7273,8.636364
587.8788,12.35354
578.7879,9.848485
572.7273,9.282828
581.8182,11.54545
575.7576,9.363636
578.7879,9.121212
572.7273,9.121212
569.697,9.040404
587.8788,10.33333
584.8485,12.51515
581.8182,9.20202
584.8485,9.686869
590.9091,13
578.7879,12.83838
581.8182,13
581.8182,9.363636
581.8182,9.363636
578.7879,9.686869
575.7576,9.282828
587.8788,9.767677
581.8182,9.929293
581.8182,11.94949
593.9394,12.75758
569.697,9.040404
578.7879,9.040404
584.8485,10.0101
590.9091,11.54545
581.8182,11.14141
575.7576,11.46465
575.7576,9.040404
575.7576,9.444444
560.6061,8.959596
572.7273,8.636364
575.7576,9.606061
584.8485,10.17172
596.9697,12.59596
587.8788,10.57576
572.7273,9.121212
575.7576,9.20202
575.7576,9.282828
569.697,9.282828
569.697,9.121212
566.6667,8.959596
590.9091,12.67677
590.9091,10.81818
569.697,9.121212
590.9091,12.27273
587.8788,10.0101
590.9091,9.929293
578.7879,9.20202
581.8182,10.17172
587.8788,10.25253
569.697,11.30303
584.8485,10.41414
575.7576,9.363636
575.7576,8.959596
584.8485,12.27273
578.7879,9.363636
572.7273,9.363636
587.8788,10.25253
593.9394,11.94949
584.8485,10.25253
575.7576,9.606061
596.9697,12.43434
587.8788,12.67677
578.7879,12.43434
575.7576,9.848485
572.7273,8.878788
584.8485,12.59596
572.7273,8.959596
569.697,9.282828
581.8182,9.606061
572.7273,10.25253
584.8485,12.35354
593.9394,12.59596
569.697,9.20202
584.8485,10.41414
596.9697,12.11111
575.7576,9.282828
572.7273,9.282828
578.7879,9.444444
572.7273,8.959596
581.8182,12.59596
575.7576,9.282828
593.9394,10.0101
578.7879,9.444444
587.8788,13
584.8485,9.848485
584.8485,10.0101
581.8182,10.0101
572.7273,11.38384
606.0606,13
578.7879,9.20202
575.7576,9.363636
578.7879,11.94949
584.8485,10.33333
596.9697,11.06061
575.7576,9.20202
575.7576,9.363636
575.7576,9.686869
581.8182,9.767677
578.7879,9.282828
578.7879,12.11111
572.7273,10.49495
575.7576,9.040404
581.8182,9.444444
581.8182,10.09091
575.7576,12.19192
584.8485,12.59596
590.9091,11.78788
584.8485,10.0101
581.8182,12.75758
584.8485,10.17172
587.8788,9.20202
584.8485,10.25253
572.7273,8.79798
569.697,9.121212
566.6667,9.040404
596.9697,12.43434
572.7273,11.22222
578.7879,11.54545
587.8788,10.17172
575.7576,11.70707
584.8485,10.41414
572.7273,9.121212
581.8182,11.86869
572.7273,11.54545
584.8485,12.11111
569.697,9.444444
578.7879,9.686869
